russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
проповедь,ваъаза,"б, б",ваъазал,ваъазаллӏи,,,,,,N,,
простор,атӏилъи,,,,,,,,,N,,
пузыриться,пулхунну,,,,,,,пулхун,пулхум,V,пулхунну<V>:пулху[nasal],Verb
прочный,бещийа,,,,,,рещийа,,,ADJ,бещийа:ещийа,Adjective_class_prefix
прошлогодний,собсси,,,,,,,,,ADJ,собсси,Adjective_no_class
пушка,арада,"б, б",арадобил,арадулӏи,арадобалӏи,,,,,N,,
пьянеть,бегулъери,,,,,,вегулъери,вегулъи,вегулъиб,V,бегулъери<V>:егулъ[thematic-i],Verb_class_prefix
пятно,тӏанкил,"б, б",тӏанкилол,тӏанкилулӏи,тӏанкилалӏи,,,,,N,,
пятьсот,иᵸшдубешенегу,,,,,,,,,NUM,,
раз,микъи,,,,,,,,,N,,
разговор,реддон,"р, р",реддомил,реддонулӏи,реддомалӏи,,,,,N,,
размышление,пикру,"б, б",пикродул,пикруллӏи,пикрудалӏи,,,,,N,,
разница,батӏалъир,б,,батӏалъирлӏи,,,,,,N,,
разрешение,изну,б,,,,,,,,N,,
рай,алджан,,,,,,,,,N,,
ранение,къиралъий,,,,,,,,,N,,
рассвет,кванлъир,,,,,,,,,N,,
ревновать,щакери,,,,,,,щаки,щаком,V,,Verb
рассол,цӏонтур,,,,,,,,,N,,
расстояние,манзил,"б, б",манзилол,манзилулӏи,манзилалӏи,,,,,N,,
редкий,мичӏчӏиру,,,,,,,,,ADJ,мичӏчӏиру,Adjective_no_class
результат,хӏассил,"б, б",хӏассилол,хӏассилулӏи,хӏассилалӏи,,,,,N,,
решение,хӏукму,"б, б",хӏукмодул,хӏукмуллӏи,хӏукмодалӏи,,,,,N,,
ржавчина,кьаву,"б, б",кьаводул,кьавулӏи,кьаводалӏи,,,,,N,,
ронять,буколлу,,,,,,"йиколлу, вуколлу, йикӏоллу, вукӏоллу",буколъи,буколло,V,,Verb
рубанок,ссургу,"б, б",ссургодул,ссургулӏи,ссургодалӏи,,,,,N,,
сад,охи,"р, р",охил,охилӏи,охилалӏи,,,,,N,,
сапоги,чакмай,"б, б",чакмайол,чакмайулӏи,чакмайалӏи,,,,,N,,
сбивать,букӏоллу,,,,,,"рукӏолло, вукӏолло, йикӏолло",букӏолъи,букӏолло,V,букӏоллу<V>:кӏ[causative],Verb_class_prefix_u_a
сбор,мишу,б,,,,,,,,N,,
свекла,чӏабкӏулди,"б, б",чӏабкӏулдол,чӏабкӏулдулӏи,чӏабкӏулдалӏи,,,,,N,,
сверху,"гьиъакку, лъобакку",,,,,,,,,ADV,"гьиъакку, лъобакку",Adverb_no_class
седеть,гьацӏалъери,,,,,,,гьацӏалъи,гьацӏалъиб,V,гьацӏалъери<V>:гьацӏалъ[thematic-i],Verb
светать,кванлъери,,,,,,,кванлъи,кванлъиб,V,кванлъери<V>:кванлъ[thematic-i],Verb
сердцевина,рокӏо,"р, р",рокӏол,рокӏоллӏи,рокӏолилӏи,,,,,N,,
складывать,ролъери,,,,,,,ролъо,ролъиб,V,,Verb
складывать,сукӏунну,,,,,,,сукӏон,сукӏон,V,"сукӏунну<V>:сукӏ[nasal,transitive,npst-u]",Verb
скоблить,хъеллери,,,,,,,хъелли,хъелло,V,"хъеллери<V>:хъелл[thematic-i,transitive]",Verb
ситец,чит,р,,читиллӏи,,,,,,N,,
слепнуть,ботӏилъери,,,,,,,ботӏилъи,ботӏилъиб,V,ботӏилъери<V>:ботӏилъ[thematic-i],Verb
скользкий,чӏчӏари,,,,,,,,,ADJ,чӏчӏари,Adjective_no_class
скорлупа,хъал,б,хъалил,хъалуллӏи,хъалилилӏи,,,,,N,,
слишком,бигьу,,,,,,"бигьу, ригьу, йигьу, вугьу",,,ADV,бигьу:гьу,Adverb_class_prefix_i_u
смысл,анччери,,,,,,,анччи,анччиб,V,анччери<V>:анчч[thematic-i],Verb
слушаться,кантӏунери,,,,,,,,,V,,Verb
соболезнование,зигара,б,зигардул,зигаралӏи,зигардалӏи,,,,,N,,
соглашаться,разилъери,,,,,,,разилъи,разилъери вуккуйа,V,,Verb
согласие,разилъир,б,,разилъирлӏи,,,,,,N,,
сода,суда,б,,судаллӏи,судалӏол,,,,,N,,
сорт,тайпа,"б, б",тайпал,тайпаллӏи,тайпалилӏи,,,,,N,,
спешить,ххеххери,,,,,,,ххеххи,ххеххилъиб,V,ххеххери<V>:ххехх[thematic-i],Verb
спешить,эдеъунну,,,,,,,эдеъун,эдеъум,V,эдеъунну<V>:эдеъу[nasal],Verb
состояние,хӏал,б,,,,,,,,N,,
спокойно,параъати,,,,,,,,,ADV,параъати,Adverb_no_class
спорить,даъбадунну,,,,,,,даъбадун,даъбадум,V,даъбадунну<V>:даъбаду[nasal],Verb
спокойно,сабрулъа,,,,,,,,,ADV,сабрулъа,Adverb_no_class
способность,гьунар,"б, б",гьунардул,гьунарулӏи,гьунардалӏи,,,,,N,,
средний,бокьусси,,,,,,"йокьусси, вокьусси, рокьусси",,,ADJ,бокьусси:окьусси,Adjective_class_prefix
стареть,бохорлъери,,,,,,"йохорлъи, вохорлъи",вохорлъи,вохорлъиб,V,бохорлъери<V>:охорлъ[thematic-i],Verb_class_prefix
ссора,питна,"р, р",питнал,питналлӏи,питналилӏи,,,,,N,,
ссора,гъалмагъар,б,,гъалмагъарлӏи,,,,,,N,,
сталь,чирон,б,,чиронлӏи,,,,,,N,,
столб,гьума,"б, б",гьумадол,гьумаллӏи,гьумадалӏи,,,,,N,,
столица,тахшагьар,б,,,,,,,,N,,
стон,зигара,б,зигардул,зигаралӏи,зигардалӏи,,,,,N,,
строка,михъур,"б, б",михъурдул,михъурулӏи,михъурдалӏи,,,,,N,,
стучать,кӏутӏишери,,,,,,,кӏутӏишо,кӏутӏишо,V,"кӏутӏишери<V>:кӏутӏиш[thematic-i,transitive]",Verb
частое сердцебиение,тӏваркӏишери,р,,тӏваркӏиллӏи,,,,,,N,,
суп,чорпа,б,чорпал,чорпаллӏи,чорпалилӏи,,,,,N,,
сустав,ричӏин,"р, р",ричӏимол,ричӏинулӏи,ричӏималӏи,,,,,N,,
сырой,анниб,,,,,,,,,ADJ,анниб[b],Adjective_no_class
тайна,къеча,б,,къечалилӏи,,,,,,N,,
тайный,къеча,,,,,,,,,ADJ,къеча,Adjective_no_class
терпеливый,сабрулойсси,,,,,,,,,ADJ,сабрулойсси,Adjective_no_class
тесный,къинтӏи,,,,,,,,,ADJ,къинтӏи,Adjective_no_class
ткань,хам,"б, б",хамил,хамлӏи,хамилилӏи,,,,,N,,
топтать,берхьунну,,,,,,,берхьун,берхьон,V,"берхьунну<V>:берхьу[nasal,transitive]",Verb
толстяк,биши,,,,,,"вуши, биши, йиши, вушол, йишол",,,ADJ,биши:ши,Adjective_class_prefix_i_u
толщина,бишилъир,б,,,,,ришилъир,,,N,,
торговля,дарам,"б, б",дарамил,дарамлӏи,,,,,,N,,
точка,тӏанкӏил,"р, р",тӏанкӏилол,тӏанкӏилулӏи,тӏанкӏилалӏи,,,,,N,,
точно,битӏи,,,,,,,,,ADV,битӏи,Adverb_no_class
точно,дуруси,,,,,,,,,ADV,дуруси,Adverb_no_class
тощий,хъелла,,,,,,,,,ADJ,хъелла,Adjective_no_class
трескаться,кьватӏунну,,,,,,,кьватӏун,кьватӏум,V,кьватӏунну<V>:кьватӏу[nasal],Verb
требование,тӏалаб,"б, б",тӏалабил,,,,,,,N,,
трость,анса,"р, р",ансибол,ансулӏи,ансибалӏи,,,,,N,,
трусливый,ццуццул,,,,,,,,,ADJ,ццуццул,Adjective_no_class
тыква,держикӏа,"б, б",держикӏол,держикӏулӏи,держикӏалӏи,,,,,N,,
тюбетейка,писи,"б, б",писил,писиллӏи,писиллӏи,,,,,N,,
тяжелеть,гьокӏорулъери,,,,,,,гьокӏорулъи,гьокӏорулъиб,V,гьокӏорулъери<V>:гьокӏорулъ[thematic-i],Verb
головной убор,такъийа,б,,такъийулӏи,,,,,,N,,
уважение,адаб,б,,адаблӏи,,,,,,N,,
удивление,тамашалъир,,,,,,,,,N,,
если удобно (наречие),санаъалъир,,,,,,,,,ADV,санаъалъир,Adverb_no_class
удод,гьобгьоб,"б, б",гьобгьобол,гьобгьоблӏи,гьобгьобалӏи,,,,,N,,
унижать,гьакъийдери,,,,,,,гьакъийди,гьакъийдо,V,"гьакъийдери<V>:гьакъийд[thematic-i,transitive]",Verb
урчать,къулкъудери,,,,,,,къулкъуди,къулкъудиб,V,къулкъудери<V>:къулкъуд[thematic-i],Verb
урок,дарсси,"б, б",дарссил,дарссиллӏи,дарссилилӏи,,,,,N,,
урчать,къуркъудери,,,,,,,къуркъуди,къуркъудиб,V,къуркъудери<V>:къуркъуд[thematic-i],Verb
утварь,къай,"б, б",къайил,къайлӏи,къайилилӏи,,,,,N,,
ученый,гӏалим,"в, в",гӏалимадул,гӏалимшув,гӏалимадав,,,,,N,,
ученая,гӏалим,"й, й",гӏалимадул,гӏалимлӏи,гӏалимадалӏи,,,,,N,,
хватать,биччери,,,,,,"биччи, риччи",биччи,биччо,V,"биччери<V>:чч[thematic-i,transitive]",Verb_class_prefix_i_o
учить,цӏиннолъери,,,,,,,цӏиннолъи,цӏиннолло,V,"цӏиннолъери<V>:цӏиннолъ[thematic-i,transitive]",Verb
характер,амал,"б, б",амалол,амалалӏи,амалалӏи,,,,,N,,
хитрец,ссихӏир,,,,,,,,,ADJ,ссихӏир,Adjective_no_class
хитрый,ссихӏир,,,,,,,,,ADJ,ссихӏир,Adjective_no_class
хитрый (ребенку),иприти,,,,,,,,,ADJ,,
холера,вабаъи,б,,,,,,,,N,,
хорошо,шуб,,,,,,"шуб, шур, шуй",,,ADV,шуб:шу,Adverb_class_suffix
хутор,кули,"б, б",кулил,кулиллӏи,,,,,,N,,
цвет,босо,"б, б",босол,,,,,,,N,,
чавкать,гъванкишери,,,,,,,,,V,,Verb
целый,бичӏоссуб,,,,,,"ричӏоссуб, вучӏоссуб, йичӏоссуб, вочӏоссубул, йочӏоссубул",,,ADJ,бичӏоссуб:чӏоссуб[b],Adjective_class_prefix_i_u
чавкание,лъобкӏи,,,,,,,,,N,,
часы,саъати,"б, б",саъатобил,саъатулӏи,саъатобалӏи,,,,,N,,
четверг,хамизи,р,хамиз зубодул,,,,,,,N,,
чистота,рерцӏцӏомлъир,р,,рерцӏцӏомлъирлӏи,,,берцӏцӏомлъир,,,N,,
чтение,баъир,б,,баъирлӏи,,,,,,N,,
шевелить,бергъоллу,,,,,,рергъоллу,бергъолъи,бергъолло,V,бергъоллу<V>:ергъ[causative],Verb_class_prefix
чудо,гӏаламати,б,гӏаламатол,гӏаламатилӏи,,,,,,N,,
шерсть,михи,р,,михилӏи,,,,,,N,,
шест,мокъи,"б, б",мокъадул,мокъилӏи,мокъадалӏи,,,,,N,,
шестой,ойлӏидеб,,,,,,,,,NUM,,
шестьдесят,ойлӏицӏолгу,,,,,,,,,NUM,,
шкура,цӏцӏуку,"б, б",цӏцӏукодул,цӏцӏукудолӏи,цӏцӏукодалӏи,,,,,N,,
шкура,хуча,"р, р",хучол,хучулӏи,хучодалӏи,,,,,N,,
шоссе,шагьара,,,,,,,,,N,,
штраф,гьакӏа,"б, б",гьакӏал,гьакӏалӏи,,,,,,N,,
шуба,бишо,"б, б",бишодул,бишоллӏи,бишодалӏи,,,,,N,,
щекотать,куликонну,,,,,,,куликонлъи,куликонно,V,"куликонну<V>:кулик[nasal,causative]",Verb
шутка,масхара,"б, б",масхардул,масхарулӏи,масхардалӏи,,,,,N,,
щипцы,хуцӏу,"б, б",хуцӏодул,хуцӏулӏи,хуцӏодул,,,,,N,,
ягодица,беххиркъил,"б, б",беххиркъилол,беххиркъилулӏи,беххиркъилалӏи,,,,,N,,
яичница,хайген,б,,хайгенлӏи,,,,,,N,,
ясность,байан,,,,,,,,,N,,
бабушка,ила,"й, й",,,,,,,,N,,
веревка,рошон,"р, р",рошомил,рошонулӏи,рошомалӏи,,,,,N,,
вор,лъомидо,"в, в",,лъомидошуб,,,,,,N,,
вор,лъомидо,"й, й",,,,,,,,N,,
где,ину,,,,,,,,,ADV,ину,Adverb_no_class
гладкий,ламмиб,,,,,,,,,ADJ,ламмиб[b],Adjective_no_class
гость,цӏцӏи,"в, в",цӏцӏил,цӏцӏишув,цӏцӏелувул,,,,,N,,
гостья,цӏцӏи,"й, й",цӏцӏил,цӏцӏиллӏи,цӏцӏелувул,,,,,N,,
гриб,хорошашуб авъара,"б, б",хорошашубул авъардул,хорошашуб авъарулӏи,хорошашубул авъардалӏи,,,,,N,,
долго,бигьу заман,,,,,,,,,ADV,бигьу заман,Adverb_no_class
жениться,йошикӏва йичинно,,,,,,,йошикӏва йичон,йошикӏва йичом,V,,
думать,ургъунну,,,,,,,ургъун,ургъум,V,ургъунну<V>:ургъу[nasal],Verb
еж,ужрукъи,"б, й",ужрукъол,ужрукъулӏи,ужрукъалӏи,,,,,N,,
жила,щекӏи,"б, б",щекӏил,щекӏиллӏи,щекӏилилӏи,,,,,N,,
зажигать,биколлу,,,,,,"риколлу, роколлу",биколъи,биколло,V,биколлу<V>:к[causative],Verb_class_prefix_i_o
звать,къорери,,,,,,,къори,къоро,V,"къорери<V>:къор[thematic-i,transitive]",Verb
запах,шан,"б, б",шанил,шанлӏи,шанилилӏи,,,,,N,,
земля,онщи,б,,оншилӏи,,,,,,N,,
кабан,хунтӏа,"б, й",хунтӏил,хунтӏулӏи,хунтӏилӏи,,,,,N,,
кол,хӏахъум,"б, б",хӏахъумол,хӏахъумулӏи,хӏахъумалӏи,,,,,N,,
кора,хъал,"б, б",хъалил,хъалулӏи,хъалилилӏи,,,,,N,,
лечить,сагъийдери,,,,,,,сагъийди,сагъийдо,V,"сагъийдери<V>:сагъийд[thematic-i,transitive]",Verb
косточка,гага,б,,гагулӏи,,,,,,N,,
куст,хъарахъи,"б, б",хъарахъол,хъарахъулӏи,хъарахъалӏи,,,,,N,,
находить,бисонну,,,,,,,бисон,бисонно,V,"бисонну<V>:бис[nasal,causative]",Verb
мята,инцциртӏа,р,,инцциртӏалӏи,,,,,,N,,
не,ссу,,,,,,,,,EXCL,,
ноша,къай,б,,къайлӏи,,,,,,N,,
отнимать,бухери,,,,,,"рухери, вухери, йихери, вохери, йохери, бохери",бухи,,V,,Verb_class_prefix_u_a
обманывать,гуккунну,,,,,,,гуккун,гуккон,V,"гуккунну<V>:гукку[nasal,transitive]",Verb
огород,чӏадил,"б, б",чӏадилол,чӏадиллӏи,чӏадилалӏи,,,,,N,,
перхоть,къара,б,,къаралӏи,,,,,,N,,
поднимать,гьебцӏоллу,,,,,,,гьебцӏоллъи,гьебцӏолло,V,гьебцӏоллу<V>:гьебцӏ[causative],Verb
пить,цӏцӏадери,,,,,,,цӏцӏади,цӏцӏадо,V,"цӏцӏадери<V>:цӏцӏад[thematic-i,transitive]",Verb
пол,гьоъор,б,,гьоъорлӏи,,,,,,N,,
полдень,лъал,б,,лъаллӏи,,,,,,N,,
половник,гама,б,,гамулӏи,,,,,,N,,
последний,вехудивасси,,,,,,"йехудийасси, бехудибасси, рехудирасси, вохудивассол, йехудийассол, бехудибассол, рехудирассол,",,,ADJ,бехудибасси:ехуди :асси,Adjective_class_prefix_and_internal(2)
пот,гьанъо,б,,гьанъолӏи,,,,,,N,,
пьяный,бегулъий,,,,,,"вегулъий, йегулъий",,,ADJ,бегулъий:егулъий,Adjective_class_prefix
равнина,байдан,"б, б",байдамил,байданулӏи,байдамалӏи,,,,,N,,
радуга,соруди йошиква йичонний,,,,,,,,,N,,
рубить,ароллу,,,,,,,аролъи,аролло,V,ароллу<V>:ар[causative],Verb
ругать,вейхъвери,,,,,,,вейхъу,вейхъуб,V,вейхъвери<V>:вейхъв[thematic-u],Verb
садиться,гьовкӏвери,,,,,,,гьовкӏо,,V,,Verb
рожать,мочӏи джидери,,,,,,,,,V,,
смотреть,гьалчӏинну,,,,,,,гьалчӏон,гьалчӏом,V,"гьалчӏинну<V>:гьалчӏ[nasal,npst-i]",Verb
светлый,кванор,,,,,,,,,ADJ,кванор,Adjective_no_class
семя,шен,р,,шенлӏи,,,,,,N,,
скот,буцӏцӏир,"б, й",буцӏцӏирол,буцӏцӏирулӏи,буцӏцӏиралӏи,,,,,N,,
собираться,бакӏарунну,,,,,,"бакӏарун, ракӏарун, вакӏарун, йакӏарун",бакӏарун,бакӏарон,V,"бакӏарунну<V>:бакӏару[nasal,transitive]",Verb_class_prefix
соленый,цӏцӏонъон,,,,,,,,,ADJ,цӏцӏонъон,Adjective_no_class
сосед,мадугьал,"в, в",мадугьаладул,мадугьалшуб,мадугьаладав,,,,,N,,
соседка,мадугьал,"й, й",мадугьаладул,мадугьаллӏи,мадугьаладалӏи,,,,,N,,
спасать,борчӏонну,,,,,,"ворчӏонну, йорчӏонну, борчӏонну",ворчӏон,ворчӏонно,V,"борчӏонну<V>:орчӏ[nasal,causative]",Verb_class_prefix
стрела,чӏор,р,,,,,,,,N,,
стул,мокӏо,"б, б",мокӏол,мокӏолӏи,мокӏолилӏи,,,,,N,,
сычуг,ребкьу,р,,ребкьулӏи,,,,,,N,,
тесать,каннери,,,,,,,канни,канно,V,"каннери<V>:канн[thematic-i,transitive]",Verb
трясти,лъурери,,,,,,,лъури,лъуро,V,"лъурери<V>:лъур[thematic-i,transitive]",Verb
твердый,къвакӏунниб,,,,,,,,,ADJ,къвакӏунниб[b],Adjective_no_class
тмин,миъор,р,,миъорлӏи,,,,,,N,,
хотеть,къорокъери,,,,,,,къорокъо,къорокъоб,V,къорокъери<V>:къорокъ[thematic-o],Verb
тупой,барссуб,,,,,,,,,ADJ,барссуб[b],Adjective_no_class
утка,бадуши,"б, й",бадушол,бадушулӏи,бадушалӏи,,,,,N,,
холм,гъижи,"б, б",гъижадул,гъижилӏи,гъижадалӏи,гъижиъа,,,,N,,
бежать,гьеллери,,,,,,,гьелли,гьеллиб,V,гьеллери<V>:гьелл[thematic-i],Verb
щебень,гъогъу,б,гъогъодул,гъогъулӏи,гъогъодалӏи,,,,,N,,
алыча,кӏолли кӏуркӏул,"б, б",кӏолли кӏуркӏулол,кӏуркӏулулӏи,кӏуркӏулалӏи,,,,,N,,
бульон,кощи,"р, р",кощил,кощилӏи,кощилилӏи,,,,,N,,
вариться,билъонну,,,,,,"билъонну, рилъонну, волъонну, болъонний",билъон,билъон,V,"билъонну<V>:билъо[nasal,transitive]",Verb_class_prefix_i_o
выбирать,бочӏери,,,,,,рочӏери,бочӏо,бочӏо,V,"бочӏери<V>:очӏ[thematic-o,transitive]",Verb_class_prefix
выть,гьомдери,,,,,,,гьомди,гьомдиб,V,гьомдери<V>:гьомд[thematic-i],Verb
весь,илӏугу,,,,,,,,,PRON,,
забывать,реччери,,,,,,,реччо,реччоб,V,реччери<V>:речч[thematic-o],Verb
гнуться,тӏебери,,,,,,,тӏеби,тӏебиб,V,тӏебери<V>:тӏеб[thematic-i],Verb
дыра,багин,"б, б",багимол,багинулӏи,багималӏи,,,,,N,,
жадный,къинниб,,,,,,,,,ADJ,къинниб[b],Adjective_no_class
кусать,къаммери,,,,,,,къамми,къаммо,V,"къаммери<V>:къамм[thematic-i,transitive]",Verb
крыло,лъиру,"р, р",лъирдобил,лъирудолӏи,лъирудобалӏи,,,,,N,,
лиса,сори,"б, й",сордул,соролӏи,сордалӏи,,,,,N,,
лошадь,кӏоту,"б, й",кӏотил,кӏотулӏи,кӏотилӏи,,,,,N,,
мало,колӏи,,,,,,,,,ADV,колӏи,Adverb_no_class
мало,мичӏигу,,,,,,,,,ADV,мичӏигу,Adverb_no_class
между,бокьу,,,,,,"рокьу, йокьу, вокьу",,,POST,,
мерить,басинну,,,,,,,басон,басон,V,"басинну<V>:бас[nasal,transitive,npst-i]",Verb
невеста,бахӏарай,"й, й",бахӏардул,бахӏарайлӏи,бахӏардалӏи,,,,,N,,
ножны,релъоба,"б, б",релъобил,релъобулӏи,релъобалӏи,,,,,N,,
ножны,ххубару,"б, б",ххубардул,ххубарулӏи,ххубардалӏи,,,,,N,,
открывать,архинну,,,,,,,архон,архон,V,"архинну<V>:арх[nasal,transitive,npst-i]",Verb
оставлять,беддери,,,,,,"веддо, йеддо, реддо",беддо,беддо,V,"беддери<V>:едд[thematic-o,transitive]",Verb_class_prefix
остывать,гьалтери,,,,,,,гьалто,гьалтоб,V,гьалтери<V>:гьалт[thematic-o],Verb
плечо,бехун,"б, б",бехумол,бехунулӏи,бехумалӏи,,,,,N,,
просеивать,кудери,,,,,,,куди,кудо,V,"кудери<V>:куд[thematic-i,transitive]",Verb
похожий,аблъин,,,,,,"авлъин, айлъин, арлъин, аблъин",,,ADJ,аблъин:a :лъин,Adjective_class_internal(2)
пояс,рокьучул,"р, р",рокьучулол,рокьучулулӏи,рокьучулалӏи,,,,,N,,
прямой,битӏи,,,,,,ритӏи,,,ADJ,битӏи:тӏи,Adjective_class_prefix_i_u
прятать,бекъашолери,,,,,,,бекъашулъи,бекъашулло,V,"бекъашолери<V>:бекъашол[thematic-i,transitive]",Verb
работать,хӏалтӏунну,,,,,,,хӏалтӏун,хӏалтӏум,V,хӏалтӏунну<V>:хӏалтӏу[nasal],Verb
родник,инцци,"р, р",инццадул,инццилӏи,инццадалӏи,,,,,N,,
рожь,чӏори,б,,чӏорлӏи,,,,,,N,,
рычать,гъулгъудери,,,,,,,гъулгъуди,гъулгъудиб,V,гъулгъудери<V>:гъулгъуд[thematic-i],Verb
рычать,кӏкӏуннери,,,,,,,кӏкӏунни,кӏкӏунниб,V,кӏкӏуннери<V>:кӏкӏунн[thematic-i],Verb
свежевать,рихъери,,,,,,,рихъи,рихъо,V,"рихъери<V>:рихъ[thematic-i,transitive]",Verb
самка,гьорчӏи,"й, й",гьорчӏол,гьорчӏиллӏи,гьорчӏилилӏи,,,,,N,,
смешивать,абжоллу,,,,,,,абжолъи,абжолло,V,абжоллу<V>:абж[causative],Verb
сметана,эл,"б, б",элил,элулӏи,элилилӏи,,,,,N,,
стремя,падучан,"б, б",падучамил,падучанлӏи,падучамалӏи,,,,,N,,
ступня,кьеркьил,"б, б",,,,,,,,N,,
ударять,джабери,,,,,,,джаби,джабо,V,"джабери<V>:джаб[thematic-i,transitive]",Verb
трут,ссекӏу,"б, б",ссекӏодул,ссекӏулӏи,ссекӏодалӏи,,,,,N,,
туман,гьиро,"р, р",гьиродул,гьиролӏи,гьиродалӏи,,,,,N,,
хрящ,цӏецӏи,"б, б",цӏецӏил,цӏецӏилӏи,цӏецӏилилӏи,,,,,N,,
челюсть,чӏамчӏаллӏи,"б, б",чӏамчӏаллӏол,,,,,,,N,,
юла,пархил,"р, р",пархилол,пархилулӏи,пархилалӏи,,,,,N,,
армия,аскӏар,"б, б",аскӏарол,аскӏарлӏи,аскӏаралӏи,,,,,N,,
зерно,хӏалбахъин,"б, б",хӏалбахъинол,хӏалбахъинулӏи,хӏалбахъиналӏи,,,,,N,,
пиджак,кастум,"б, б",кастумол,кастумулӏи,кастумалӏи,,,,,N,,
ватная куртка,пенджеки,"б, б",пенджекол,пенджекулӏи,пенджекалӏи,,,,,N,,
суд,сути,"б, б",сутил,сутиллӏи,сутилилилӏи,,,,,N,,
сук,кӏурцӏцӏо,"б, б",кӏурцӏцӏодул,кӏурцӏцӏулӏи,кӏурцӏцӏодалӏи,,,,,N,,
фонарь,чирахъи,"б, б",чирахъол,чирахъулӏи,чирахъалӏи,,,,,N,,
имя,цӏцӏер,"р, р",цӏцӏердул,цӏцӏерулӏи,цӏцӏердалӏи,,,,,N,,
алчный,къинниб,,,,,,,,,ADJ,къинниб[b],Adjective_no_class
аппетит,хийал,"б, б",хийалол,хийалулӏи,хийалалӏи,,,,,N,,
барабанщик,къаличан,"в, в",къаличамадул,,,,,,,N,,
барабанщица,къаличан,"й, й",къаличамадул,,,,,,,N,,
белеть,гьацӏалъери,,,,,,,гьацӏалъи,гьацӏалъиб,V,гьацӏалъери<V>:гьацӏалъ[thematic-i],Verb
безрукавка,кереᵸссери,"б, б",кереᵸссерол,кереᵸссериллӏи,кереᵸссеролилӏи,,,,,N,,
бидон,битон,"б, б",битомил,битонулӏи,битомалӏи,,,,,N,,
бодаться,гъуммери,,,,,,,гъумми,гъуммо,V,"гъуммери<V>:гъумм[thematic-i,transitive]",Verb
блестящий,цӏцӏвакуниб,,,,,,цӏцӏвакунир,,,ADJ,цӏцӏвакуниб:цӏцӏвакуни,Adjective_class_suffix
божья коровка,вошуле-йошиле,"б, й",вошуле-йошиболле,йошуллӏиле вошубле босо,,,,,,N,,
бродяга,сорсол,"в, в",сорсолол,сорсолшуй,сорсололуй,,,,,N,,
бродяга,сорсол,"й, й",сорсолол,сорсоллӏи,сорсололилӏи,,,,,N,,
брысь,учи,,,,,,,,,EXCL,,
бублик,гимура,"б, б",гимурдул,гимурулӏи,гимурдалӏи,,,,,N,,
бусинка,миххи,"б, б",миххил,миххилӏи,миххилилӏи,,,,,N,,
в будущем году,гьиъойа,,,,,,,,,ADV,гьиъойа,Adverb_no_class
вдруг,хапиду,,,,,,,,,ADV,хапиду,Adverb_no_class
вежливый,лъуна,,,,,,,,,ADJ,лъуна,Adjective_no_class
вершина,мийар,"р, р",мийардул,мийарулӏи,мийардалӏи,,,,,N,,
вес,гьокӏорулъир,б,,,,,,,,N,,
весной,риба,,,,,,,,,ADV,риба,Adverb_no_class
весть,хабар,б,,хабарулӏи,,,,,,N,,
ветшать,чӏунтунну,,,,,,,чӏунтун,чӏунтум,V,чӏунтунну<V>:чӏунту[nasal],Verb
вечером,гьечӏодоъо,,,,,,,,,ADV,гьечӏодоъо,Adverb_no_class
взамен,миса,,,,,,,,,ADV,миса,Adverb_no_class
взвешивать,басинну,,,,,,,басон,басон,V,"басинну<V>:бас[nasal,transitive,npst-i]",Verb
визжать,зумзудир,,,,,,,зумзудир вугъи,зумзудир вачӏоб,,,
взвешивать,кьаннери,,,,,,,кьанни,кьанно,V,"кьаннери<V>:кьанн[thematic-i,transitive]",Verb
вместе,сору,,,,,,,,,POST,,
воровать,бехъащери,,,,,,рехъащери,бехъащи,бехъащо,V,"бехъащери<V>:ехъащ[thematic-i,transitive]",Verb_class_prefix
вонючий,шанжа,,,,,,,,,ADJ,шанжа,Adjective_no_class
воротник,гару,"б, б",гардобил,гардолӏи,гардобалӏи,,,,,N,,
впервые,эсседугуло,,,,,,,,,ADV,эсседугуло,Adverb_no_class
впечатление,асар,б,,асарулӏи,,,,,,N,,
вред,зарар,"р, р",зарардул,зарарулӏи,зарардалӏи,,,,,N,,
вред,зийан,"р, р",зийанол,зийанулӏи,зийаналӏи,,,,,N,,
вспыхивать,гвангъунну,,,,,,,гвангъун,гвангъум,V,гвангъунну<V>:гвангъу[nasal],Verb
всюду,инукку инало,,,,,,,,,ADV,инукку инало,Adverb_no_class
вход,кӏол,"б, б",кӏолибол,кӏололӏи,кӏолибалӏи,,,,,N,,
выжимать,цӏцӏурери,,,,,,,цӏцӏури,цӏцӏуро,V,"цӏцӏурери<V>:цӏцӏур[thematic-i,transitive]",Verb
торчать (о чем-то остром),цӏцӏутӏунну,,,,,,,цӏцӏутӏун,цӏцӏутӏунно,V,,Verb
выращивать,бижунну,,,,,,,бижун,,V,,Verb
высота,гьирцӏилъер,"б, б",гьирцӏилъерадул,гьирцӏилъерлӏи,гьирцӏилъерадалӏи,,,,,N,,
нагло смотреть,хъитӏунну,,,,,,,хъитӏун,хъитӏум,V,хъитӏунну<V>:хъитӏу[nasal],Verb
газ,газ,б,,газулӏи,,,,,,N,,
газета,кайзати,"б, б",кайзатол,кайзатулӏи,кайзаталӏи,,,,,N,,
